Nama_Obat;Manufacturer;Content;Indications;Contraindications;Adverse_Reactions;Diseases;MIMS_Class
Glocetamol Forte;Global Health Pharmaceutical;Paracetamol;Relieve pain of headache, toothache & fever.;Hypersensitivity. Severe liver dysfunction.;Hypersensitivity reactions. Liver damage on long term use & in large doses.;"Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Kamolas/Kamolas Forte/Kamolas Drops;Solas;Paracetamol;"Fever; symptomatic relief of minor aches, pains & discomfort associated with common colds, flu, innoculations, vaccinations & tonsillectomy.";Hepatic dysfunction.;Skin rashes or other allergic reactions.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Naprex;Darya-Varia;Paracetamol;To reduce fever & provide pain relief.;Severe liver dysfunction.;Hypersensitivity reactions, liver dysfunction.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Nipe Fever;Transfarma Medica Indah;Paracetamol;"To relieve fever that comes together with flu & post-vaccination fever; relieve mild pain eg, headache, toothache.";Hypersensitivity. Hepatic function disorder & active hepatic disease.;Nausea, vomiting, headache, trouble sleeping.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Ottopan;Otto;Paracetamol;Relieve fever & pain in headache & toothache.;Hypersensitivity. Severe hepatic impairment.;Hypersensitivity. High doses used in long-term may cause hepatic impairment.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Ottopan Infusion;Otto;Paracetamol;For short term treatment of moderate pain (especially post-op pain) & fever when IV route is clinically necessary to treat pain & hyperthermia &/or when other route of administration are not possible.;Hypersensitivity. Severe hepatocellular impairment. Liver disorders.;Dizziness, headache, dystonia, nausea, vomiting, constipation, skin rash, urticaria, anaphylactic shock, malaise, hypersensitivity, hypotension, increased serum transaminase in liver, thrombocytopenia, leucopenia, neutropenia.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Pamol;Interbat;Paracetamol;Relief of pain eg, headache, toothache, after tooth extraction, muscular pain. Fever due to immunization.;Severe liver dysfunction.;Nausea, vomiting, diarrhea, diaphoresis, pallor & abdominal pain. Hepatic impairment (prolonged use & high dose).;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Pamol Suppository;Interbat;Paracetamol;To reduce pain & fever when oral administration is not possible.;Severe hepatic dysfunction.;"Hepatic damage with high doses & prolonged use; hypersensitivity reactions.";"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Panorex;Pharos;Paracetamol;"Short-term treatment of moderate pain following surgery; fever, when IV route is clinically justified by an urgent need to treat pain or hyperthermia &/or when other routes of administration are not possible.";Hypersensitivity. Severe hepatocellular insufficiency. Hepatic failure or active liver disease.;"Malaise; hypersensitivity reaction; hypotension; increased hepatic transaminases level; thrombocytopenia, leucopenia, neutropenia; skin rash or urticaria, anaphylactic shock.";"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Paraco;Coronet;Paracetamol;Relief of pains & reduce body temp associated with headache, toothache, fever, mild & severe pains, tonsillectomy pains or reactions after immunization.;Hypersensitivity. Hepatic disturbance or severe liver dysfunction.;Hypersensitivity reactions. Liver damage in prolonged use & large doses.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Poldan MIG;Sanbe;Paracetamol 400 mg, ASA 250 mg, caffeine 65 mg;Relieves moderate headache & migraine.;"Hepatic & renal dysfunction, asthma, thrombocytopenia, peptic ulcer, hemophilia; patients under anticoagulants.";Hepatic impairment, gastric irritation, nausea, vomiting.;"Burns - Initial Management; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Juvenile Idiopathic Arthritis.";Analgesics (Non-Opioid) & Antipyretics
Ponstan;Pfizer;Mefenamic acid;Relief of mild to moderate pain eg, RA, OA, muscular, traumatic, dental pain, headache, post-op, postpartum, primary dysmenorrhea, premenstrual syndrome.;Hypersensitivity. Patient experiencing bronchospasm, allergic rhinitis & urticaria with ASA or other NSAIDs. Active ulceration or chronic upper or lower GI tract inflammation. Treatment of peri-op pain in CABG surgery. Severe heart failure. Pre-existing renal disease. Severe renal & hepatic failure.;"GI disorders, drowsiness, hypersensitivity, diarrhea; anaphylaxis, nervousness, agranulocytosis, aplastic anemia, bone marrow hypoplasia, leukopenia, hypotension.";"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Juvenile Idiopathic Arthritis.";Analgesics (Non-Opioid) & Antipyretics
Praxion;Pharos;Paracetamol (micronized);Relief of fever due to flu & after immunization, pain eg, headache & toothache.;Hepatic or renal failure.;Hematological, skin & other allergic reactions.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Progesic;Bufa Aneka;Ibuprofen 200 mg, paracetamol 350 mg;Relieve pain in toothache, headache, muscle ache, menstrual pain (primary dysmenorrhea) & reduce fever.;History of hypersensitivity to paracetamol, ibuprofen, or other NSAIDs. Severe & active peptic ulcers. Patients with symptoms of asthma, rhinitis (cold), or urticaria after receiving aspirin or other NSAIDs. third trimester of pregnancy.;Liver damage (in prolonged use & large doses).;"Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dysmenorrhea - Primary; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Juvenile Idiopathic Arthritis; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Pyrex Enema;Novell Pharma;Paracetamol;Relief of mild to moderate pain & reduces fever.;Hypersensitivity to paracetamol or propacetamol HCl. Hepatic failure or active liver disease.;Blood disorders, acute pancreatitis. Rarely, hypersensitivity. Liver damage (high-doses or prolonged use).;"Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric).";Analgesics (Non-Opioid) & Antipyretics
Sanmol Infusion;Sanbe;Paracetamol;"Short-term treatment of moderate pain, following surgery; fever, when IV route is clinically justified by an urgent need to treat pain or hyperthermia &/or when other routes of administration are not possible.";Hypersensitivity. Severe hepatocellular insufficiency. Hepatic failure or active liver disease.;"Dizziness, headache, dystonia, nausea, vomiting, constipation; simple skin rash or urticaria due to anaphylactic shock (discontinue); malaise; hypersensitivity reaction; hypotension; increased level of hepatic transaminases; thrombocytopenia, leucopenia, neutropenia.";"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Sanmol/Sanmol Forte;Sanbe;Paracetamol;Relief of pain including headache & toothache. Relief of fever.;Hypersensitivity. Severe hepatic dysfunction.;"Hematological, skin reactions, other allergic reactions; liver damage (prolonged use & overdosage).";"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Stinopi;Otto;Paracetamol 500 mg, acetylcysteine 200 mg;Relieve productive cough & reduce fever related with influenza.;Hypersensitivity. Hepatic impairment.;Allergic reactions, neutropenia, thrombocytopenia, purpura, nausea, vomiting, GI disturbances. Large doses or long-term use can cause hepatic dysfunction.;"Burns - Initial Management; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric).";Analgesics (Non-Opioid) & Antipyretics
Tamoliv;Kalbe Farma;Paracetamol;Short-term treatment of moderate pain, esp following surgery & short-term treatment of fever, when administration by IV route is clinically justified by urgent need to treat pain or hyperthermia &/or when other routes of administration are ineffective.;Hypersensitivity. Severe liver insufficiency.;Malaise, hypotension, increased hepatic transaminase level, hypersensitivity reactions, thrombocytopenia, leucopenia, neutropenia, skin rash or urticaria, anaphylactic shock.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Turpas;Simex;Paracetamol micronized;Reduce fever, relief pain in headache & toothache.;Hypersensitivity. Severe liver dysfunction.;Prolonged & high dose may cause liver damage. Hypersensitivity.;"Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Burns - Initial Management; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dengue; Dengue (Pediatric); Dysmenorrhea - Primary; Influenza; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Zika Virus Infection; Mumps.";Analgesics (Non-Opioid) & Antipyretics
Actrel;Pharos;Celecoxib;Relief of signs & symptoms of OA, RA in adults, ankylosing spondylitis.;Hypersensitivity to celecoxib or sulfonamides. Patients who have experienced asthma, urticaria or allergic-type reactions after taking ASA or other NSAIDs including other COX-2 specific inhibitors. Treatment of peri-op pain in the setting of CABG surgery.;"Increased allergies, allergic reactions, asthenia, chest pain, cyst NOS, generalized edema, facial edema, fatigue, fever, hot flushes, influenza-like symptoms, pain, peripheral pain; constipation, diverticulitis, gastroenteritis, GERD; aggravated HT, angina pectoris, palpitation, tachycardia; herpes simplex, herpes zoster, bacterial & fungal infection; leg cramps, migraine, vertigo, earache, tinnitus; breast pain, dysmenorrhea; abnormal hepatic function, increased BUN & CPK; arthralgia; ecchymosis, thrombocythemia; anorexia, anxiety; anemia; bronchitis, laryngitis, pneumonia; alopecia, dermatitis, cellulitis; blurred vision, conjunctivitis; albuminuria, cystitis, dysuria.";"Cancer Pain; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis; Tendinopathy.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Alaxan FR;Medifarma;Ibuprofen 200 mg, paracetamol 325 mg;Relief of muscle pain, headache, toothache, primary dysmenorrhea & to reduce fever.;Hypersensitivity to paracetamol, ibuprofen, or other NSAIDs. Severe & active peptic ulcer. Patients in whom acetosal or other NSAIDs induce symptoms of asthma, rhinitis, or urticaria. Third trimester of pregnancy.;"Impaired liver function, nausea, vomiting, gastric pain, heartburn, diarrhea, constipation, gastric bleeding; skin rash, dizziness, bronchospasm, thrombocytopenia, lymphopenia, impaired kidney & liver function; blurred vision.";"Headache; Migraine Headache; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Psoriatic Arthritis; Tendinopathy; Mumps.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Analsik;Sanbe;Methampyrone 500 mg, diazepam 2 mg;Relief of moderate to severe pain, especially colic & post-op when the combination with tranquilizer is needed.;BP <100 mmHg, acute psychosis. Pregnancy & lactation. Infant first month birth.;Agranulocytosis, hypersensitivity reactions, skin reactions, drowsiness, dizziness, constipation, depression, hypotension, nausea, tremor, urinary retention, vertigo.;"Cancer Pain; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Low Back Pain; Dysmenorrhea - Primary.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Arfen/Arfen Forte;Solas;Ibuprofen;Mild to moderate pain, post-op pain, rheumatoid diseases & muscle pain.;Peptic ulceration. Patient in whom aspirin or other NSAIDs induce the symptoms of asthma, rhinitis or urticaria. Third trimester pregnancy.;Nausea, vomiting, diarrhea, constipation, abdominal pain or transient burning of the upper stomach, skin rashes, bronchospasms or thrombocytopenia.;"Cancer Pain; Headache; Migraine Headache; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis; Tendinopathy; Mumps.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Atrocox-7.5/Atrocox-15;Simex;Meloxicam;Short-term symptomatic treatment of acute exacerbation of OA. Long-term symptomatic treatment of RA (chronic polyarthritis). Symptomatic treatment of ankylosing spondylitis.;Hypersensitivity. Active gastric ulcer, GI bleeding, cerebrovascular haemorrhage or other bleeding, severe liver or kidney insufficiency without dialysis. Patients who have shown asthma, nasal polyp, angioedema, or urticarial symptoms after usage of ASA or other NSAIDs. Pregnancy & lactation. Childn & adolescents <15 year.;GI disorders, temporary liver dysfunction with increased transaminase & bilirubin level, kidney dysfunction with increased serum creatinine &/or urea level, skin & mucosal, hematological, CV, resp tract, & CNS disturbances.;"Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Blastofen;Pharos;Dexketoprofen;Oral: Symptomatic treatment of mild to moderate pain eg, acute musculoskeletal & post-op pain, dysmenorrhea, toothache. Injection: Symptomatic treatment of acute pain when PO is not possibe.;History of hypersensitivity to dexketoprofen, other NSAIDs. Patient with history of asthma attack, bronchospasm, acute rhinitis, or nasal polyps, peptic ulcers, chronic dyspepsia, severe heart failure, moderate to severe kidney dysfunction, severe impaired liver function.;Nausea, vomiting, abdominal pain, diarrhea, dyspepsia. Sleep disorders, anxiety, peripheral edema.;"Chronic Pelvic Pain; Low Back Pain; Osteoarthritis; Rheumatoid Arthritis; Dysmenorrhea - Primary; Ankylosing Spondylitis; Gout; Tendinopathy.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Bufaflam Emulgel;Bufa Aneka;Diclofenac diethylamine;Traumatic inflammation of tendon, ligament, muscle & joint due to strain, sprain & bruise. Localized soft tissue rheumatism eg, tendovaginitis, bursitis, shoulder-hand syndrome & periarthropathy. Localized rheumatic disease eg, OA in peripheral joint & vertebral column.;Hypersensitivity to diclofenac, salicylic acid, other NSAIDs, isopropanol or propylene glycol. Patients in whom ASA (aspirin) or other NSAIDs induce asthma, urticaria or acute rhinitis.;Itching & redness of the skin, pustular rash, hypersensitivity, angioneurotic edema, asthma, rash, eczema, erythema, dermatitis, photosensitivity, dermatitis bulosa.;"Cancer Pain; Headache; Migraine Headache; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis; Tendinopathy.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Bufect/Bufect Forte;Sanbe;Ibuprofen;"Mild to moderate pain eg, primary dysmenorrhoea, toothache or post-extraction dental pain, post-op pain, headache; mild to moderate pain symptom in rheumatic disease, muscle pain & sprain; fever reduction.";Hypersensitivity to other NSAIDs. Peptic ulceration, patients in whom aspirin or other NSAIDs induce the symptoms of asthma, rhinitis or urticaria. Third trimester of pregnancy. Childn <7 kg (tab).;Nausea, vomiting, diarrhea, constipation, abdominal pain or transient burning on the upper stomach, skin rashes, bronchospasm, thrombocytopenia, lymphopenia, blurred or diminished vision.;"Cancer Pain; Headache; Migraine Headache; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Influenza (Pediatric); Rheumatic Fever - Acute; Rhinosinusitis - Acute, Bacterial; Rhinosinusitis - Acute, Bacterial (Pediatric); Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis; Tendinopathy; Mumps.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Cameloc;Dexa Medica;Meloxicam;Symptomatic short-term treatment of acute exacerbation of OA. Long-term symptomatic treatment of RA (chronic polyarthritis).;"Severe kidney disease. Active (within 6 month) or history of recurrent gastric ulcer. Severe nondialysis kidney failure. GI bleeding, cerebrovascular hemorrhage or other hemorrhagic disorders. Severe liver dysfunction; history of asthma, nasal polyp, angioedema or urticaria. Pregnancy & lactation. Childn <15 year.";Rarely liver function abnormalities, eructation, GI disturbances, nausea & vomiting, increased BP, flushing, edema, pain, palpitation, vertigo, tinnitus, drowsiness, dizziness, headache, anemia, arthralgia, back pain, insomnia, acute asthma, cough, upper resp tract disorders, resp tract infections, stomatitis, urticaria, photosensitization, pruritus, rash, micturition frequency, UTI, anaphylaxis/anaphylactoid reactions, angioedema.;"Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Cataflam/Cataflam Fast;Novartis Indonesia;Diclofenac K;Acute & chronic treatment of signs & symptoms of RA, OA & ankylosing spondylitis. Management of pain & primary dysmenorrhoea, when prompt pain relief is desired. Short-term treatment in acute migraine attacks & post-op pain & inflammation following dental & orthopaedic surgery.;Hypersensitivity to diclofenac, ASA or other NSAIDs. Active GI ulceration, bleeding or perforation. Patients who have experienced asthma, urticaria or allergic reactions after aspirin or NSAID therapy. Peri-op pain in CABG surgery. CHF (NYHA II-IV). Ischemic heart disease. Peripheral arterial &/or cerebrovascular disease. Renal (GFR <15 mL/min/1.73 m2) & hepatic failure. Pregnancy (last trimester) & lactation.;"Headache, dizziness, vertigo, nausea, vomiting, diarrhea, dyspepsia, abdominal pain, flatulence, anorexia, epigastric pain; increased transaminases; rash.";"Cancer Pain; Headache; Migraine Headache; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis; Tendinopathy.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Celebrex;Pfizer;Celecoxib;Relief of signs & symptoms of OA, RA in adults, ankylosing spondylitis & the short-treatment of acute pain in adults following surgery or musculoskeletal injury.;Hypersensitivity to celecoxib or sulfonamides. Patients who have experienced asthma, urticaria or allergic-type reactions after taking ASA or other NSAIDs including other COX-2 specific inhibitors. Treatment of peri-op pain in the setting of CABG surgery.;"Bronchitis, rhinitis, sinusitis, upper resp tract infection, UTI; insomnia; dizziness; HTN (including aggravated HTN); coughing; vomiting, abdominal pain, diarrhea, dyspepsia, flatulence; pruritus (includes pruritus generalized), rash; peripheral oedema. Ear infection, fungal infection; MI, angina pectoris; dyspnoea; nausea, GERD, diverticulum, dysphagia, irritable bowel syndrome; increased hepatic enzyme; muscle spasms; nephrolithiasis; vag haemorrhage, prostatitis, benign prostatic hyperplasia; increased blood creatinine, increased prostatic specific antigen, increased weight.";"Cancer Pain; Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Gout; Psoriatic Arthritis; Tendinopathy.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
Counterpain-PXM;Taisho Pharmaceutical Indonesia;Per g Piroxicam 5 mg, methyl salicylate 102 mg, L-menthol 54.3 mg, eugenol 13.7 mg;Pain & inflammation eg, OA, posttraumatic or acute musculoskeletal disorders including tendinitis, tenosynovitis, periarthritis, sprains, strains & low back pain.;Hypersensitivity. Cross-sensitivity to ASA or other NSAIDS may induce asthma, rhinitis, angioedema & urticaria. Pregnancy & lactation.;Mild to moderate local skin irritation, erythema, rash, pityroid desquamation, pruritus. Mild but transient skin discoloration & staining of clothing.;"Low Back Pain; Osteoarthritis; Paget's Bone Disease; Rheumatoid Arthritis; Dysmenorrhea - Primary; Tonsillopharyngitis - Acute; Tonsillopharyngitis - Acute (Pediatric); Ankylosing Spondylitis; Juvenile Idiopathic Arthritis; Psoriatic Arthritis; Tendinopathy.";Nonsteroidal Anti-Inflammatory Drugs (NSAIDs)
